,NO,STOP,race_id,year,race_in_year,track
0,3,2,1,2016,10,Budapest
1,5,2,1,2016,10,Budapest
2,6,2,1,2016,10,Budapest
3,7,2,1,2016,10,Budapest
4,8,2,1,2016,10,Budapest
5,9,3,1,2016,10,Budapest
6,11,2,1,2016,10,Budapest
7,12,2,1,2016,10,Budapest
8,14,2,1,2016,10,Budapest
9,19,2,1,2016,10,Budapest
10,20,2,1,2016,10,Budapest
11,21,2,1,2016,10,Budapest
12,26,2,1,2016,10,Budapest
13,27,2,1,2016,10,Budapest
14,30,2,1,2016,10,Budapest
15,33,2,1,2016,10,Budapest
16,44,2,1,2016,10,Budapest
17,55,2,1,2016,10,Budapest
18,77,2,1,2016,10,Budapest
19,88,1,1,2016,10,Budapest
20,94,2,1,2016,10,Budapest
